r_B,batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
1,1,1,1,1,1.0646,1.1175,-4.969002442231819,939.3199323689649,894.8545861297539
1,1,2,1,1,1.0534,1.0803,-2.5536358458325563,949.3070058857036,925.6687957048969
1,1,3,1,1,1.0592,1.0768,-1.6616314199395827,944.1087613293051,928.6775631500743
1,1,4,1,1,1.0441,1.0807,-3.5054113590652203,957.7626664112632,925.3261774775608
1,1,5,1,1,1.0348,1.0635,-2.773482798608422,966.3703131039814,940.2914903620123
1,1,6,1,1,1.0208,1.2688,-24.294670846394986,979.6238244514108,788.1462799495588
1,1,7,1,1,1.0361,1.0819,-4.420422739117852,965.1578033008396,924.2998428690267
1,1,8,1,1,1.0411,1.0845,-4.168667755258872,960.5225242531939,922.0839096357769
1,1,9,1,1,1.0693,1.198,-12.035911343869827,935.1912466099317,834.7245409015026
1,1,10,1,1,1.0349,1.0816,-4.512513286307852,966.2769349695624,924.5562130177516
1,1,11,1,1,1.0365,1.0785,-4.0520984081042,964.7853352629041,927.2137227630968
1,1,12,1,1,1.094,1.079,1.3711151736746,914.0767824497257,926.7840593141799
1,1,13,1,1,1.0339,1.0571,-2.243930747654501,967.2115291614275,945.9842966606756
1,1,14,1,1,1.0489,1.0711,-2.116503003146153,953.3797311469159,933.6196433572962
1,1,15,1,1,1.1072,1.1113,-0.37030346820809185,903.179190751445,899.8470260055791
1,1,16,1,1,1.1382,1.1696,-2.7587418731330056,878.5802143735723,854.9931600547195
1,1,17,1,1,1.1339,1.1676,-2.9720433900696768,881.9119851838786,856.4576909900651
1,1,18,1,1,1.1353,1.1769,-3.664229719017007,880.824451686779,849.689863199932
1,1,19,1,1,1.1141,1.1587,-4.003231307782063,897.5854950184005,863.0361612151548
1,1,20,1,1,1.1043,1.1977,-8.457846599655884,905.5510278004165,834.9336227769893
1,1,21,1,1,1.1105,1.2204,-9.89644304367401,900.4952723998199,819.403474270731
1,1,22,1,1,1.0813,1.1324,-4.725793026912064,924.8127254231019,883.0801836806783
1,1,23,1,1,1.1254,1.1288,-0.30211480362538384,888.572951839346,885.8965272856129
1,1,24,1,1,1.071,1.135,-5.975723622782452,933.7068160597573,881.057268722467
1,1,25,1,1,1.0924,1.1103,-1.6385939216404273,915.4155986818015,900.657479960371
1,1,26,1,1,1.0585,1.1521,-8.842701936702873,944.7331128956071,867.980210051211
1,1,27,1,1,1.0511,1.0985,-4.509561411854259,951.3842641042718,910.3322712790168
1,1,28,1,1,1.0577,1.0893,-2.987614635529909,945.4476694714946,918.0207472688884
1,1,29,1,1,1.0541,1.0812,-2.5709135755620816,948.6765961483729,924.898261191269
1,1,30,1,1,1.0459,1.096,-4.7901328998948305,956.1143512764127,912.4087591240874
1,2,1,1,1,2.1616,1.3892,35.732790525536636,925.240562546262,1439.677512237259
1,2,2,1,1,2.101,1.3673,34.92146596858639,951.9276534983342,1462.7367805163462
1,2,3,1,1,2.196,1.3946,36.493624772313304,910.7468123861566,1434.102968593145
1,2,4,1,1,2.1001,1.3571,35.37926765392124,952.3356030665208,1473.7307493920862
1,2,5,1,1,2.1175,1.375,35.06493506493507,944.5100354191263,1454.5454545454547
1,2,6,1,1,2.1664,1.6666,23.070531757754793,923.1905465288037,1200.0480019200768
1,2,7,1,1,2.0941,1.3558,35.2561959791796,955.0642280693376,1475.143826523086
1,2,8,1,1,2.0594,1.3354,35.15587064193455,971.1566475672524,1497.6785981728324
