batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
1,1,1,1,1.0418,5.8403,-460.5970435784219,959.877135726627,171.2240809547455
1,2,1,1,1.0624,5.7725,-443.3452560240964,941.2650602409639,173.235166738848
1,3,1,1,1.0861,5.777,-431.90313967406314,920.7255317189946,173.10022503029253
1,4,1,1,1.0336,5.8144,-462.5386996904025,967.4922600619195,171.98679141441937
1,5,1,1,1.0303,5.7266,-455.81869358439303,970.5910899737939,174.62368595676318
1,6,1,1,1.038,5.7154,-450.61657032755295,963.3911368015414,174.96588165307764
1,7,1,1,1.0395,5.766,-454.68975468975464,962.000962000962,173.4304543877905
1,8,1,1,1.0269,5.7987,-464.68010517090283,973.80465478625,172.45244623794989
1,9,1,1,1.0302,5.7537,-458.5032032615026,970.6853038245001,173.80120618037088
1,10,1,1,1.0244,5.6857,-455.0273330730184,976.1811792268645,175.87983889406757
1,11,1,1,1.0241,5.7731,-463.72424567913293,976.4671418806757,173.21716235644627
1,12,1,1,1.0301,5.7466,-457.8681681390156,970.7795359673819,174.01593986009118
1,13,1,1,1.0246,5.741,-460.3162209642787,975.9906304899474,174.1856819369448
1,14,1,1,1.0752,5.7399,-433.84486607142856,930.0595238095239,174.21906304987894
1,15,1,1,1.0541,5.7666,-447.06384593492083,948.6765961483729,173.4124093920161
1,16,1,1,1.0255,5.7456,-460.273037542662,975.1340809361286,174.04622667780563
1,17,1,1,1.0269,5.8049,-465.2838640568703,973.80465478625,172.2682561284432
1,18,1,1,1.0208,5.7414,-462.4412225705329,979.6238244514108,174.17354652175428
1,19,1,1,1.028,5.7305,-457.4416342412452,972.7626459143968,174.5048425093796
1,20,1,1,1.0272,5.8413,-468.66238317757023,973.520249221184,171.1947682878811
1,21,1,1,1.0412,5.8125,-458.2500960430273,960.4302727621975,172.04301075268816
1,22,1,1,1.0285,5.8048,-464.39474963539135,972.2897423432183,172.27122381477398
1,23,1,1,1.0251,5.7382,-459.7697785581895,975.5145839430301,174.27067721585166
1,24,1,1,1.0304,5.7862,-461.54891304347825,970.496894409938,172.82499740762503
1,25,1,1,1.017,5.8742,-477.6007866273354,983.2841691248772,170.23594702257327
1,26,1,1,1.0514,5.6827,-440.48887198021686,951.1128019783148,175.9726890386612
1,27,1,1,1.0588,5.756,-443.6343029845108,944.4654325651682,173.73175816539265
1,28,1,1,1.0472,5.6969,-444.01260504201684,954.927425515661,175.53406238480576
1,29,1,1,1.0401,5.8086,-458.4655321603692,961.4460148062686,172.15852356850186
1,30,1,1,2.0081,6.2477,-211.12494397689352,497.9831681689159,160.05890167581668
2,1,1,1,2.0747,6.9784,-236.35706367185614,963.99479442811,286.59864725438496
2,2,1,1,2.1048,6.7956,-222.86202964652225,950.2090459901178,294.30808169992343
2,3,1,1,2.0781,6.8234,-228.3480102016265,962.4175929935998,293.10900723979245
2,4,1,1,2.0862,6.8616,-228.9042277825712,958.6808551433229,291.4772064824531
2,5,1,1,2.0455,6.8814,-236.41652407724274,977.7560498655586,290.63853285668614
2,6,1,1,2.0411,7.039,-244.86306403409924,979.8637989319484,284.1312686461145
2,7,1,1,2.0608,6.8602,-232.89013975155282,970.496894409938,291.536689892423
2,8,1,1,2.0458,6.8553,-235.09140678463194,977.6126698602014,291.7450731550771
