batch_size,invalid_ratio_pct,invalid_requests,latency_ms,verification_calls,max_recursion_depth,isolated_invalid,isolation_correct,throughput_auth_s
10,0,0,18.3232,1,0,0,1,545.7561997904296
10,0,0,17.9715,1,0,0,1,556.4365801407786
10,0,0,17.8141,1,0,0,1,561.3530854772343
10,0,0,17.9378,1,0,0,1,557.4819654584174
10,0,0,18.0462,1,0,0,1,554.1332801365385
10,0,0,18.025,1,0,0,1,554.7850208044383
10,0,0,17.9816,1,0,0,1,556.1240379054144
10,0,0,17.4247,1,0,0,1,573.8979724184634
10,0,0,17.6292,1,0,0,1,567.2407142695074
10,0,0,17.5072,1,0,0,1,571.1935660756717
10,0,0,18.5931,1,0,0,1,537.8339276398233
10,0,0,18.5174,1,0,0,1,540.0326179701254
10,0,0,18.138,1,0,0,1,551.328702172235
10,0,0,17.5971,1,0,0,1,568.2754544782947
10,0,0,17.86,1,0,0,1,559.9104143337066
10,0,0,17.6142,1,0,0,1,567.7237683232846
10,0,0,17.9126,1,0,0,1,558.2662483391579
10,0,0,17.6126,1,0,0,1,567.7753426524193
10,0,0,18.4426,1,0,0,1,542.2228969884941
10,0,0,18.0939,1,0,0,1,552.6724476204687
10,0,0,17.8437,1,0,0,1,560.4218855954764
10,0,0,18.4115,1,0,0,1,543.1387991201151
10,0,0,18.0712,1,0,0,1,553.3666828987559
10,0,0,17.8548,1,0,0,1,560.0734816407912
10,0,0,17.9086,1,0,0,1,558.3909406653786
10,0,0,17.6045,1,0,0,1,568.0365815558521
10,0,0,17.6439,1,0,0,1,566.7681181598174
10,0,0,18.0037,1,0,0,1,555.4413814938041
10,0,0,17.8249,1,0,0,1,561.0129650096213
10,0,0,18.5328,1,0,0,1,539.5838729172062
10,5,1,45.6116,7,3,1,1,219.24247340588798
10,5,1,39.7316,7,3,1,1,251.6888320631437
10,5,1,39.001,7,3,1,1,256.4036819568729
10,5,1,37.4859,7,3,1,1,266.7669710477806
10,5,1,38.2487,7,3,1,1,261.4467942701321
10,5,1,37.5699,7,3,1,1,266.1705248084238
10,5,1,37.5162,7,3,1,1,266.55151641157687
10,5,1,45.1969,9,4,1,1,221.25411256081722
10,5,1,44.8272,9,4,1,1,223.0788449869722
10,5,1,37.4274,7,3,1,1,267.18393476437046
10,5,1,37.0948,7,3,1,1,269.5795637124341
10,5,1,37.9026,7,3,1,1,263.83414330415326
10,5,1,38.6165,7,3,1,1,258.9566636023461
10,5,1,45.8956,9,4,1,1,217.8858104044832
10,5,1,45.7326,9,4,1,1,218.66239837665037
10,5,1,38.4605,7,3,1,1,260.00702018954513
10,5,1,45.1825,9,4,1,1,221.32462789796935
